ranking,distancia_pb,gen1_locus,gen1_nombre,gen1_hebra,gen2_locus,gen2_nombre,gen2_hebra,misma_hebra
45,626,ACUCMD_RS09545,eccA5,+,ACUCMD_RS09550,,+,True
46,624,ACUCMD_RS09375,,-,ACUCMD_RS09380,,-,True
47,619,ACUCMD_RS15615,mas,-,ACUCMD_RS15620,fadD28,+,False
48,614,ACUCMD_RS05050,pgi,-,ACUCMD_RS05055,,-,True
49,613,ACUCMD_RS20400,,+,ACUCMD_RS20405,,-,False
50,609,ACUCMD_RS09130,,+,ACUCMD_RS09140,,-,False
51,609,ACUCMD_RS20030,,+,ACUCMD_RS20040,,+,True
52,603,ACUCMD_RS03655,,+,ACUCMD_RS03660,,-,False
53,602,ACUCMD_RS00180,,+,ACUCMD_RS00185,,+,True
54,589,ACUCMD_RS00385,glyA,-,ACUCMD_RS00390,,+,False
55,584,ACUCMD_RS16665,,-,ACUCMD_RS16670,,+,False
56,583,ACUCMD_RS12195,,-,ACUCMD_RS12200,,+,False
57,580,ACUCMD_RS09555,,+,ACUCMD_RS09560,,+,True
58,580,ACUCMD_RS17800,,-,ACUCMD_RS17805,,+,False
59,575,ACUCMD_RS06060,metE,-,ACUCMD_RS06065,,+,False
60,564,ACUCMD_RS08185,,+,ACUCMD_RS08190,,+,True
61,560,ACUCMD_RS07405,,+,ACUCMD_RS07410,mihF,+,True
62,560,ACUCMD_RS18650,,+,ACUCMD_RS18655,,-,False
63,557,ACUCMD_RS19515,cds1,+,ACUCMD_RS19525,,+,True
64,549,ACUCMD_RS11790,,+,ACUCMD_RS11800,,+,True
65,546,ACUCMD_RS12800,,+,ACUCMD_RS12805,,+,True
66,544,ACUCMD_RS06870,,-,ACUCMD_RS06880,argS,+,False
67,544,ACUCMD_RS12490,plcA,-,ACUCMD_RS12495,,+,False
68,543,ACUCMD_RS08150,pks2,-,ACUCMD_RS08155,,-,True
69,539,ACUCMD_RS11165,,+,ACUCMD_RS11170,prcA,-,False
70,538,ACUCMD_RS20380,,-,ACUCMD_RS20385,,+,False
71,528,ACUCMD_RS00305,rplI,+,ACUCMD_RS00310,dnaB,+,True
72,527,ACUCMD_RS00005,dnaA,+,ACUCMD_RS00010,dnaN,+,True
73,519,ACUCMD_RS13430,fas,-,ACUCMD_RS13435,,-,True
74,516,ACUCMD_RS13435,,-,ACUCMD_RS13440,,+,False
75,513,ACUCMD_RS13960,hrp1,-,ACUCMD_RS13965,,-,True
76,512,ACUCMD_RS01825,,-,ACUCMD_RS01830,,+,False
77,508,ACUCMD_RS07240,,-,ACUCMD_RS07245,,-,True
78,502,ACUCMD_RS10455,,-,ACUCMD_RS10460,,+,False
