gen1_locus,gen1_nombre,gen1_fin,gen1_hebra,gen2_locus,gen2_nombre,gen2_inicio,gen2_hebra,distancia_pb,tipo,misma_hebra
STM0072,caiB,85397,-,STM0073,caiA,85508,-,111,Moderado (100-200 pb),True
STM0073,caiA,86651,-,STM0074,caiT,86685,-,34,Muy cercano (< 50 pb),True
STM0074,caiT,88203,-,STM0075,fixA,88683,+,480,Normal (200-500 pb),False
STM0075,fixA,89454,+,STM0076,fixB,89469,+,15,Muy cercano (< 50 pb),True
STM0076,fixB,90411,+,STM0077,fixC,90460,+,49,Muy cercano (< 50 pb),True
STM0077,fixC,91747,+,STM0078,fixX,91743,+,-4,Solapado,True
STM0078,fixX,92031,+,STM0079,yaaU,92177,+,146,Moderado (100-200 pb),True
STM0079,yaaU,93518,+,STM0080,,93606,+,88,Cercano (50-100 pb),True
STM0080,,93837,+,STM0081,,94130,+,293,Normal (200-500 pb),True
STM0081,,94547,+,STM0082,,94770,-,223,Normal (200-500 pb),False
STM0082,,95061,-,STM0083,,95270,+,209,Normal (200-500 pb),False
STM0083,,95465,+,STM0084,,95958,+,493,Normal (200-500 pb),True
STM0084,,97848,+,STM0085,yabF,98254,+,406,Normal (200-500 pb),True
STM0085,yabF,98785,+,STM0086,kefC,98777,+,-8,Solapado,True
STM0086,kefC,100640,+,STM0087,folA,100838,+,198,Moderado (100-200 pb),True
STM0087,folA,101318,+,STM0088,apaH,101423,-,105,Moderado (100-200 pb),False
STM0088,apaH,102272,-,STM0089,apaG,102282,-,10,Muy cercano (< 50 pb),True
STM0089,apaG,102660,-,STM0090,ksgA,102662,-,2,Muy cercano (< 50 pb),True
STM0090,ksgA,103484,-,STM0091,pdxA,103480,-,-4,Solapado,True
STM0091,pdxA,104470,-,STM0092,surA,104469,-,-1,Solapado,True
STM0092,surA,105756,-,STM0093,imp,105809,-,53,Cercano (50-100 pb),True
STM0093,imp,108170,-,STM0094,djlA,108423,+,253,Normal (200-500 pb),False
STM0094,djlA,109236,+,STM0095,rluA,109330,-,94,Cercano (50-100 pb),False
STM0095,rluA,109990,-,STM0096,hepA,110001,-,11,Muy cercano (< 50 pb),True
STM0096,hepA,112908,-,STM0097,polB,113081,-,173,Moderado (100-200 pb),True
STM0097,polB,115433,-,STM0098,,115476,-,43,Muy cercano (< 50 pb),True
STM0098,,116097,-,STM0099,,116298,+,201,Normal (200-500 pb),False
STM0099,,116601,+,STM0100,,116815,+,214,Normal (200-500 pb),True
STM0100,,117235,+,STM0101,araD,117240,-,5,Muy cercano (< 50 pb),False
STM0101,araD,117936,-,STM0102,araA,118076,-,140,Moderado (100-200 pb),True
STM0102,araA,119579,-,STM0103,araB,119589,-,10,Muy cercano (< 50 pb),True
STM0103,araB,121299,-,STM0104,araC,121639,+,340,Normal (200-500 pb),False
STM0104,araC,122485,+,STM0105,yabI,122603,+,118,Moderado (100-200 pb),True
STM0105,yabI,123371,+,STM0106,yabJ,123409,-,38,Muy cercano (< 50 pb),False
STM0106,yabJ,124117,-,STM0107,yabK,124100,-,-17,Solapado,True
STM0107,yabK,125711,-,STM0108,tbpA,125686,-,-25,Solapado,True
STM0108,tbpA,126670,-,STM0109,yabN,126847,-,177,Moderado (100-200 pb),True
STM0109,yabN,128506,-,STM0110,leuD,129056,-,550,Grande (> 500 pb),True
STM0110,leuD,129662,-,STM0111,leuC,129672,-,10,Muy cercano (< 50 pb),True
STM0111,leuC,131073,-,STM0112,leuB,131075,-,2,Muy cercano (< 50 pb),True
STM0112,leuB,132167,-,STM0113,leuA,132166,-,-1,Solapado,True
STM0113,leuA,133738,-,STM0114,leuL,133825,-,87,Cercano (50-100 pb),True
STM0114,leuL,133912,-,STM0115,leuO,134568,+,656,Grande (> 500 pb),False
STM0115,leuO,135513,+,STM0116,ilvI,135897,+,384,Normal (200-500 pb),True
STM0116,ilvI,137559,+,STM0117,ilvH,137561,+,2,Muy cercano (< 50 pb),True
STM0117,ilvH,138053,+,STM0118,fruR,138336,+,283,Normal (200-500 pb),True
STM0118,fruR,139341,+,STM0119,yabB,139946,+,605,Grande (> 500 pb),True
STM0119,yabB,140405,+,STM0120,yabC,140406,+,1,Muy cercano (< 50 pb),True
STM0120,yabC,141348,+,STM0121,ftsL,141344,+,-4,Solapado,True
STM0121,ftsL,141710,+,STM0122,ftsI,141725,+,15,Muy cercano (< 50 pb),True
STM0122,ftsI,143492,+,STM0123,murE,143478,+,-14,Solapado,True
STM0123,murE,144966,+,STM0124,murF,144962,+,-4,Solapado,True
STM0124,murF,146321,+,STM0125,mraY,146314,+,-7,Solapado,True
STM0125,mraY,147397,+,STM0126,murD,147399,+,2,Muy cercano (< 50 pb),True
STM0126,murD,148716,+,STM0127,ftsW,148715,+,-1,Solapado,True
STM0127,ftsW,149960,+,STM0128,murG,149956,+,-4,Solapado,True
STM0128,murG,151024,+,STM0129,murC,151142,+,118,Moderado (100-200 pb),True
STM0129,murC,152618,+,STM0130,ddlB,152610,+,-8,Solapado,True
STM0130,ddlB,153531,+,STM0131,ftsQ,153532,+,1,Muy cercano (< 50 pb),True
STM0131,ftsQ,154363,+,STM0132,ftsA,154359,+,-4,Solapado,True
STM0132,ftsA,155622,+,STM0133,ftsZ,155682,+,60,Cercano (50-100 pb),True
STM0133,ftsZ,156834,+,STM0134,lpxC,156934,+,100,Moderado (100-200 pb),True
STM0134,lpxC,157852,+,STM0135,yacA,158198,+,346,Normal (200-500 pb),True
STM0135,yacA,158627,+,STM0136,secA,158688,+,61,Cercano (50-100 pb),True
STM0136,secA,161394,+,STM0137,mutT,161545,+,151,Moderado (100-200 pb),True
STM0137,mutT,161941,+,STM0138,yacG,162262,-,321,Normal (200-500 pb),False
STM0138,yacG,162454,-,STM0139,yacF,162463,-,9,Muy cercano (< 50 pb),True
STM0139,yacF,163207,-,STM0140,yacE,163206,-,-1,Solapado,True
STM0140,yacE,163827,-,STM0141,guaC,164052,+,225,Normal (200-500 pb),False
STM0141,guaC,165096,+,STM0142,hofC,165126,-,30,Muy cercano (< 50 pb),False
STM0142,hofC,166329,-,STM0143,hofB,166318,-,-11,Solapado,True
STM0143,hofB,167704,-,STM0144,ppdD,167713,-,9,Muy cercano (< 50 pb),True
STM0144,ppdD,168151,-,STM0145,nadC,168372,-,221,Normal (200-500 pb),True
STM0145,nadC,169266,-,STM0146,ampD,169353,+,87,Cercano (50-100 pb),False
STM0146,ampD,169917,+,STM0147,ampE,169913,+,-4,Solapado,True
STM0147,ampE,170768,+,STM0148,,170859,-,91,Cercano (50-100 pb),False
STM0148,,171810,-,STM0149,,171809,-,-1,Solapado,True
STM0149,,173216,-,STM0150,aroP,173379,-,163,Moderado (100-200 pb),True
STM0150,aroP,174753,-,STM0151,pdhR,175315,+,562,Grande (> 500 pb),False
STM0151,pdhR,176080,+,STM0152,aceE,176239,+,159,Moderado (100-200 pb),True
STM0152,aceE,178903,+,STM0153,aceF,178917,+,14,Muy cercano (< 50 pb),True
STM0153,aceF,180807,+,STM0154,lpdA,181006,+,199,Moderado (100-200 pb),True
STM0154,lpdA,182431,+,STM0155,,182719,+,288,Normal (200-500 pb),True
STM0155,,183004,+,STM0156,,183041,-,37,Muy cercano (< 50 pb),False
STM0156,,183833,-,STM0157,yacH,183845,-,12,Muy cercano (< 50 pb),True
STM0157,yacH,185468,-,STM0158,acnB,185856,+,388,Normal (200-500 pb),False
STM0158,acnB,188454,+,STM0159,,188514,-,60,Cercano (50-100 pb),False
STM0159,,189357,-,STM0160,yacL,189602,+,245,Normal (200-500 pb),False
STM0160,yacL,189965,+,STM0161,kdgT,190199,+,234,Normal (200-500 pb),True
STM0161,kdgT,191153,+,STM0162,,191149,+,-4,Solapado,True
STM0162,,192421,+,STM0163,,192410,+,-11,Solapado,True
STM0163,,193394,+,STM0164,,193403,+,9,Muy cercano (< 50 pb),True
STM0164,,194171,+,STM0165,speD,194200,-,29,Muy cercano (< 50 pb),False
STM0165,speD,194995,-,STM0166,speE,195015,-,20,Muy cercano (< 50 pb),True
STM0166,speE,195876,-,STM0167,yacC,195982,-,106,Moderado (100-200 pb),True
STM0167,yacC,196330,-,STM0168,cueO,196531,+,201,Normal (200-500 pb),False
STM0168,cueO,198142,+,STM0169,gcd,198219,-,77,Cercano (50-100 pb),False
STM0169,gcd,200610,-,STM0170,hpt,200815,+,205,Normal (200-500 pb),False
STM0170,hpt,201352,+,STM0171,yadF,201409,-,57,Cercano (50-100 pb),False
STM0171,yadF,202072,-,STM0172,yadG,202180,+,108,Moderado (100-200 pb),False
STM0172,yadG,203107,+,STM0173,yadH,203103,+,-4,Solapado,True
STM0173,yadH,203874,+,STM0174,stiH,203990,-,116,Moderado (100-200 pb),False
STM0174,stiH,205070,-,STM0175,stiC,205078,-,8,Muy cercano (< 50 pb),True
STM0175,stiC,207625,-,STM0176,stiB,207651,-,26,Muy cercano (< 50 pb),True
STM0176,stiB,208335,-,STM0177,stiA,208382,-,47,Muy cercano (< 50 pb),True
STM0177,stiA,208922,-,STM0178,yadI,209292,+,370,Normal (200-500 pb),False
STM0178,yadI,209733,+,STM0179,yadE,209794,+,61,Cercano (50-100 pb),True
STM0179,yadE,211024,+,STM0180,panD,211030,-,6,Muy cercano (< 50 pb),False
STM0180,panD,211411,-,STM0181,panC,211505,-,94,Cercano (50-100 pb),True
STM0181,panC,212360,-,STM0182,panB,212485,-,125,Moderado (100-200 pb),True
STM0182,panB,213277,-,STM0183,folK,213397,-,120,Moderado (100-200 pb),True
STM0183,folK,213877,-,STM0184,pcnB,213873,-,-4,Solapado,True
STM0184,pcnB,215292,-,STM0185,yadB,215432,-,140,Moderado (100-200 pb),True
STM0185,yadB,216374,-,STM0186,dksA,216397,-,23,Muy cercano (< 50 pb),True
STM0186,dksA,216853,-,STM0187,sfsA,217029,-,176,Moderado (100-200 pb),True
STM0187,sfsA,217734,-,STM0188,ligT,217750,-,16,Muy cercano (< 50 pb),True
STM0188,ligT,218281,-,STM0189,hrpB,218308,+,27,Muy cercano (< 50 pb),False
STM0189,hrpB,220783,+,STM0190,mrcB,220923,+,140,Moderado (100-200 pb),True
STM0190,mrcB,223446,+,STM0191,fhuA,223738,+,292,Normal (200-500 pb),True
STM0191,fhuA,225928,+,STM0192,fhuC,225976,+,48,Muy cercano (< 50 pb),True
STM0192,fhuC,226774,+,STM0193,fhuD,226773,+,-1,Solapado,True
STM0193,fhuD,227664,+,STM0194,fhuB,227660,+,-4,Solapado,True
STM0194,fhuB,229718,+,STM0195,stfA,230657,+,939,Grande (> 500 pb),True
STM0195,stfA,231218,+,STM0196,stfC,231303,+,85,Cercano (50-100 pb),True
STM0196,stfC,233961,+,STM0197,stfD,233978,+,17,Muy cercano (< 50 pb),True
STM0197,stfD,234731,+,STM0198,stfE,234749,+,18,Muy cercano (< 50 pb),True
STM0198,stfE,235262,+,STM0199,stfF,235258,+,-4,Solapado,True
STM0199,stfF,235735,+,STM0200,stfG,235734,+,-1,Solapado,True
STM0200,stfG,236265,+,STM0201,,236264,+,-1,Solapado,True
STM0201,,237104,+,STM0202,hemL,237211,-,107,Moderado (100-200 pb),False
STM0202,hemL,238492,-,STM0203,yadQ,238661,+,169,Moderado (100-200 pb),False
STM0203,yadQ,240083,+,STM0204,yadR,240119,+,36,Muy cercano (< 50 pb),True
STM0204,yadR,240509,+,STM0205,yadS,240609,-,100,Moderado (100-200 pb),False
STM0205,yadS,241233,-,STM0206,btuF,241269,-,36,Muy cercano (< 50 pb),True
STM0206,btuF,242070,-,STM0207,pfs,242062,-,-8,Solapado,True
STM0207,pfs,242761,-,STM0208,dgt,242845,+,84,Cercano (50-100 pb),False
STM0208,dgt,244363,+,STM0209,htrA,244492,+,129,Moderado (100-200 pb),True
STM0209,htrA,245920,+,STM0210,cdaR,246072,+,152,Moderado (100-200 pb),True
STM0210,cdaR,247230,+,STM0211,yaeH,247318,-,88,Cercano (50-100 pb),False
STM0211,yaeH,247705,-,STM0212,,247951,+,246,Normal (200-500 pb),False
STM0212,,249253,+,STM0213,dapD,249289,-,36,Muy cercano (< 50 pb),False
STM0213,dapD,250114,-,STM0214,glnD,250143,-,29,Muy cercano (< 50 pb),True
STM0214,glnD,252816,-,STM0215,map,253052,-,236,Normal (200-500 pb),True
STM0215,map,253847,-,STM0216,rpsB,254297,+,450,Normal (200-500 pb),False
STM0216,rpsB,255023,+,STM0217,tsf,255280,+,257,Normal (200-500 pb),True
STM0217,tsf,256132,+,STM0218,pyrH,256276,+,144,Moderado (100-200 pb),True
STM0218,pyrH,257002,+,STM0219,frr,257148,+,146,Moderado (100-200 pb),True
STM0219,frr,257706,+,STM0220,dxr,257846,+,140,Moderado (100-200 pb),True
STM0220,dxr,259043,+,STM0221,uppS,259355,+,312,Normal (200-500 pb),True
STM0221,uppS,260114,+,STM0222,cdsA,260126,+,12,Muy cercano (< 50 pb),True
STM0222,cdsA,260984,+,STM0223,yaeL,260995,+,11,Muy cercano (< 50 pb),True
STM0223,yaeL,262348,+,STM0224,yaeT,262379,+,31,Muy cercano (< 50 pb),True
STM0224,yaeT,264794,+,STM0225,hlpA,264916,+,122,Moderado (100-200 pb),True
STM0225,hlpA,265402,+,STM0226,lpxD,265405,+,3,Muy cercano (< 50 pb),True
STM0226,lpxD,266431,+,STM0227,fabZ,266536,+,105,Moderado (100-200 pb),True
STM0227,fabZ,266992,+,STM0228,lpxA,266995,+,3,Muy cercano (< 50 pb),True
STM0228,lpxA,267784,+,STM0229,lpxB,267783,+,-1,Solapado,True
STM0229,lpxB,268932,+,STM0230,rnhB,268928,+,-4,Solapado,True
STM0230,rnhB,269525,+,STM0231,dnaE,269548,+,23,Muy cercano (< 50 pb),True
STM0231,dnaE,273031,+,STM0232,accA,273043,+,12,Muy cercano (< 50 pb),True
STM0232,accA,274003,+,STM0233,,274183,+,180,Moderado (100-200 pb),True
STM0233,,275947,+,STM0234,ldcC,276022,+,75,Cercano (50-100 pb),True
STM0234,ldcC,278164,+,STM0235,yaeR,278219,+,55,Cercano (50-100 pb),True
STM0235,yaeR,278609,+,STM0236,mesJ,278671,+,62,Cercano (50-100 pb),True
STM0236,mesJ,279964,+,STM0237,rof,280047,-,83,Cercano (50-100 pb),False
STM0237,rof,280308,-,STM0238,yaeP,280294,-,-14,Solapado,True
STM0238,yaeP,280513,-,STM0239,yaeQ,280692,+,179,Moderado (100-200 pb),False
STM0239,yaeQ,281238,+,STM0240,yaeJ,281234,+,-4,Solapado,True
STM0240,yaeJ,281657,+,STM0242,proS,282467,-,810,Grande (> 500 pb),False
STM0242,proS,284186,-,STM0243,yaeB,284296,-,110,Moderado (100-200 pb),True
STM0243,yaeB,285004,-,STM0244,rcsF,285000,-,-4,Solapado,True
STM0244,rcsF,285405,-,STM0245,yaeC,285523,-,118,Moderado (100-200 pb),True
STM0245,yaeC,286339,-,STM0246,yaeE,286377,-,38,Muy cercano (< 50 pb),True
STM0246,yaeE,287031,-,STM0247,abc,287023,-,-8,Solapado,True
STM0247,abc,288055,-,STM0248,yaeD,288244,+,189,Moderado (100-200 pb),False
STM0248,yaeD,288811,+,STM0255,yafB,295069,+,6258,Grande (> 500 pb),True
STM0255,yafB,295873,+,STM0256,yafC,295893,-,20,Muy cercano (< 50 pb),False
STM0256,yafC,296808,-,STM0257,,296912,+,104,Moderado (100-200 pb),False
STM0257,,298088,+,STM0258,yafD,298240,+,152,Moderado (100-200 pb),True
STM0258,yafD,299020,+,STM0259,yafE,299097,+,77,Cercano (50-100 pb),True
STM0259,yafE,299868,+,STM0260,dniR,299923,-,55,Cercano (50-100 pb),False
STM0260,dniR,301291,-,STM0261,gloB,301362,-,71,Cercano (50-100 pb),True
STM0261,gloB,302118,-,STM0262,yafS,302152,+,34,Muy cercano (< 50 pb),False
STM0262,yafS,302875,+,STM0263,rnhA,302871,-,-4,Solapado,False
STM0263,rnhA,303339,-,STM0264,dnaQ,303402,+,63,Cercano (50-100 pb),False
STM0264,dnaQ,304134,+,STM0266,,304665,-,531,Grande (> 500 pb),False
STM0266,,305721,-,STM0267,,305731,-,10,Muy cercano (< 50 pb),True
STM0267,,306727,-,STM0268,,306723,-,-4,Solapado,True
STM0268,,308607,-,STM0269,,308622,-,15,Muy cercano (< 50 pb),True
STM0269,,309117,-,STM0270,,309113,-,-4,Solapado,True
STM0270,,309938,-,STM0271,,309924,-,-14,Solapado,True
STM0271,,310827,-,STM0272,,311194,+,367,Normal (200-500 pb),False
STM0272,,313834,+,STM0273,,313933,+,99,Cercano (50-100 pb),True
STM0273,,314476,+,STM0274,,314499,+,23,Muy cercano (< 50 pb),True
STM0274,,316008,+,STM0274A,,316070,+,62,Cercano (50-100 pb),True
STM0274A,,316181,+,STM0275,,316307,+,126,Moderado (100-200 pb),True
STM0275,,316640,+,STM0276,,316893,+,253,Normal (200-500 pb),True
STM0276,,317379,+,STM0277,,317683,+,304,Normal (200-500 pb),True
STM0277,,318169,+,STM0278,,318153,+,-16,Solapado,True
STM0278,,318537,+,STM0279,,318679,+,142,Moderado (100-200 pb),True
STM0279,,319165,+,STM0280,,319231,+,66,Cercano (50-100 pb),True
STM0280,,319768,+,STM0281,,319771,+,3,Muy cercano (< 50 pb),True
STM0281,,321115,+,STM0282,,321111,+,-4,Solapado,True
STM0282,,322416,+,STM0283,,322420,+,4,Muy cercano (< 50 pb),True
STM0283,,323194,+,STM0284,,323396,+,202,Normal (200-500 pb),True
STM0284,,323828,+,STM0285,,323861,+,33,Muy cercano (< 50 pb),True
STM0285,,327731,+,STM0286,,327730,+,-1,Solapado,True
STM0286,,328519,+,STM0287,,328515,+,-4,Solapado,True
STM0287,,328932,+,STM0288,,328955,+,23,Muy cercano (< 50 pb),True
STM0288,,329477,+,STM0289,,329873,+,396,Normal (200-500 pb),True
STM0289,,332063,+,STM0290,,332086,+,23,Muy cercano (< 50 pb),True
STM0290,,332533,+,STM0291,,332551,+,18,Muy cercano (< 50 pb),True
STM0291,,336646,+,STM0292,,337095,+,449,Normal (200-500 pb),True
STM0292,,337836,+,STM0293,,337829,+,-7,Solapado,True
STM0293,,338276,+,STM0294,,338838,+,562,Grande (> 500 pb),True
STM0294,,339276,+,STM0295,,340044,+,768,Grande (> 500 pb),True
STM0295,,340353,+,STM0296,,340454,-,101,Moderado (100-200 pb),False
STM0296,,340703,-,STM0297,,340755,+,52,Cercano (50-100 pb),False
STM0297,,340953,+,STM0298,,341178,+,225,Normal (200-500 pb),True
STM0298,,341460,+,STM0299,safA,342209,+,749,Grande (> 500 pb),True
STM0299,safA,342722,+,STM0300,safB,342829,+,107,Moderado (100-200 pb),True
STM0300,safB,343543,+,STM0301,safC,343566,+,23,Muy cercano (< 50 pb),True
STM0301,safC,346077,+,STM0302,safD,346098,+,21,Muy cercano (< 50 pb),True
STM0302,safD,346569,+,STM0303,ybeJ,346974,+,405,Normal (200-500 pb),True
STM0303,ybeJ,347796,+,STM0304,sinR,348610,+,814,Grande (> 500 pb),True
STM0304,sinR,349558,+,STM0305,,349674,+,116,Moderado (100-200 pb),True
STM0305,,349890,+,STM0306,,349893,-,3,Muy cercano (< 50 pb),False
STM0306,,350613,-,STM0307,,350943,-,330,Normal (200-500 pb),True
STM0307,,351351,-,STM0308,yafV,351721,-,370,Normal (200-500 pb),True
STM0308,yafV,352489,-,STM0309,yafH,352597,-,108,Moderado (100-200 pb),True
STM0309,yafH,355042,-,STM0310,ghmA,355281,+,239,Normal (200-500 pb),False
STM0310,ghmA,355860,+,STM0311,yafJ,356072,+,212,Normal (200-500 pb),True
STM0311,yafJ,356840,+,STM0312,yafK,356810,-,-30,Solapado,False
STM0312,yafK,357551,-,STM0313,dinP,357800,+,249,Normal (200-500 pb),False
STM0313,dinP,358856,+,STM0315,prfH,360203,+,1347,Grande (> 500 pb),True
STM0315,prfH,360818,+,STM0316,pepD,360973,-,155,Moderado (100-200 pb),False
STM0316,pepD,362431,-,STM0317,gpt,362679,+,248,Normal (200-500 pb),False
STM0317,gpt,363138,+,STM0318,yafA,363226,+,88,Cercano (50-100 pb),True
STM0318,yafA,364471,+,STM0319,crl,364528,+,57,Cercano (50-100 pb),True
STM0319,crl,364930,+,STM0320,phoE,364980,-,50,Cercano (50-100 pb),False
STM0320,phoE,366033,-,STM0321,proB,366315,+,282,Normal (200-500 pb),False
STM0321,proB,367419,+,STM0322,proA,367430,+,11,Muy cercano (< 50 pb),True
STM0322,proA,368681,+,STM0324,,369158,+,477,Normal (200-500 pb),True
STM0324,,369380,+,STM0325,,369197,-,-183,Solapado,False
STM0325,,369998,-,STM0327,,370739,+,741,Grande (> 500 pb),False
STM0327,,371063,+,STM0328,,371403,+,340,Normal (200-500 pb),True
STM0328,,372642,+,STM0329,,372773,+,131,Moderado (100-200 pb),True
STM0329,,374195,+,STM0330,,374196,+,1,Muy cercano (< 50 pb),True
STM0330,,374823,+,STM0331,,374837,+,14,Muy cercano (< 50 pb),True
STM0331,,375716,+,STM0332,,375715,+,-1,Solapado,True
STM0332,,376630,+,STM0333,,376663,+,33,Muy cercano (< 50 pb),True
STM0333,,377629,+,STM0334,,377573,-,-56,Solapado,False
STM0334,,377846,-,STM0335,,378536,+,690,Grande (> 500 pb),False
STM0335,,378935,+,STM0336,stbE,378981,-,46,Muy cercano (< 50 pb),False
STM0336,stbE,379740,-,STM0337,stbD,379705,-,-35,Solapado,True
STM0337,stbD,381031,-,STM0338,stbC,381035,-,4,Muy cercano (< 50 pb),True
STM0338,stbC,383597,-,STM0339,stbB,383580,-,-17,Solapado,True
STM0339,stbB,384342,-,STM0340,stbA,384403,-,61,Cercano (50-100 pb),True
STM0340,stbA,384940,-,STM0341,,385573,+,633,Grande (> 500 pb),False
STM0341,,386338,+,STM0342,,386310,+,-28,Solapado,True
