ranking,distancia_pb,gen1_locus,gen1_nombre,gen1_hebra,gen2_locus,gen2_nombre,gen2_hebra,misma_hebra
83,604,HRS04_RS22005,nadS,+,HRS04_RS22010,yiiE,+,True
84,602,HRS04_RS06665,ompF,-,HRS04_RS06670,asnS,-,True
85,601,HRS04_RS02215,cra,+,HRS04_RS02220,mraZ,+,True
86,600,HRS04_RS00125,,-,HRS04_RS00130,,+,False
87,594,HRS04_RS03345,,-,HRS04_RS03350,,+,False
88,590,HRS04_RS11950,ompC,+,HRS04_RS11955,hchA,+,True
89,589,HRS04_RS05120,dcuC,-,HRS04_RS05125,pagP,+,False
90,586,HRS04_RS07200,pgaA,-,HRS04_RS07205,dgcT,+,False
91,585,HRS04_RS01900,mokC,-,HRS04_RS01905,nhaA,+,False
92,585,HRS04_RS16345,aas,-,HRS04_RS16350,galR,+,False
93,580,HRS04_RS19875,,+,HRS04_RS19880,,+,True
94,578,HRS04_RS05890,bioD,+,HRS04_RS05895,uvrB,+,True
95,572,HRS04_RS07490,rne,-,HRS04_RS07495,rluC,+,False
96,572,HRS04_RS10385,ydhQ,-,HRS04_RS10400,ydhR,+,False
97,570,HRS04_RS23190,dcuB,-,HRS04_RS23195,dcuR,-,True
98,564,HRS04_RS20800,ivbL,-,HRS04_RS20805,tisB,+,False
99,563,HRS04_RS19765,,-,HRS04_RS19770,,-,True
100,559,HRS04_RS16210,,+,HRS04_RS16215,tssF,+,True
101,559,HRS04_RS18185,yhbX,-,HRS04_RS18195,secG,-,True
102,557,HRS04_RS01160,,+,HRS04_RS01165,fecE,-,False
103,557,HRS04_RS08385,,+,HRS04_RS08390,hokD,+,True
104,557,HRS04_RS14955,qseE,-,HRS04_RS14960,purL,-,True
105,556,HRS04_RS15995,ppnN,+,HRS04_RS16000,sdaC,+,True
106,552,HRS04_RS03660,,-,HRS04_RS03665,fdeC,+,False
107,547,HRS04_RS10490,sufA,-,HRS04_RS10495,ydiH,-,True
108,546,HRS04_RS12465,,+,HRS04_RS12470,,-,False
109,546,HRS04_RS16020,fucA,-,HRS04_RS16025,fucP,+,False
110,545,HRS04_RS04460,tomB,-,HRS04_RS04465,acrB,-,True
111,545,HRS04_RS22915,soxR,+,HRS04_RS22920,ghxP,+,True
112,544,HRS04_RS06460,trxB,-,HRS04_RS06465,lrp,+,False
113,543,HRS04_RS20440,yibL,+,HRS04_RS20445,,+,True
114,540,HRS04_RS02375,aroP,-,HRS04_RS02380,pdhR,+,False
115,539,HRS04_RS02895,dnaQ,+,HRS04_RS02905,yafT,+,True
116,539,HRS04_RS08320,dicB,-,HRS04_RS08325,ydfC,-,True
117,536,HRS04_RS20415,yibI,-,HRS04_RS20420,mtlA,+,False
118,530,HRS04_RS09730,,-,HRS04_RS09735,lsrK,-,True
119,529,HRS04_RS22690,yjbD,-,HRS04_RS22695,,+,False
120,526,HRS04_RS03695,rclR,+,HRS04_RS03700,ykgE,+,True
121,525,HRS04_RS09710,,-,HRS04_RS09715,,-,True
122,524,HRS04_RS04005,hemB,-,HRS04_RS04010,,+,False
123,524,HRS04_RS22710,lysC,-,HRS04_RS22715,pgi,+,False
124,523,HRS04_RS10070,pntA,-,HRS04_RS10075,ydgH,+,False
125,523,HRS04_RS10670,thrS,-,HRS04_RS10675,espL1,+,False
126,523,HRS04_RS14385,,-,HRS04_RS14390,eutA,-,True
127,519,HRS04_RS07865,minC,-,HRS04_RS07870,ycgJ,+,False
128,519,HRS04_RS19960,yhjB,-,HRS04_RS19965,rcdB,+,False
129,514,HRS04_RS03510,,+,HRS04_RS03515,,+,True
130,512,HRS04_RS13980,frc,-,HRS04_RS13985,yfdX,-,True
131,512,HRS04_RS15820,iap,+,HRS04_RS15825,cas2e,-,False
132,500,HRS04_RS03145,proA,+,HRS04_RS03155,,+,True
