gen1_locus,gen1_nombre,gen1_fin,gen1_hebra,gen2_locus,gen2_nombre,gen2_inicio,gen2_hebra,distancia_pb,tipo,misma_hebra
ACBD56_RS13770,rbsB,92525,+,ACBD56_RS13775,rbsK,92662,+,137,Moderado (100-200 pb),True
ACBD56_RS13775,rbsK,93583,+,ACBD56_RS13780,,93593,+,10,Muy cercano (< 50 pb),True
ACBD56_RS13780,,94601,+,ACBD56_RS13785,,94732,+,131,Moderado (100-200 pb),True
ACBD56_RS13785,,95665,+,ACBD56_RS13790,pnuC,95962,+,297,Normal (200-500 pb),True
ACBD56_RS13790,pnuC,96697,+,ACBD56_RS13795,,96693,+,-4,Solapado,True
ACBD56_RS13795,,97425,+,ACBD56_RS13800,,97564,+,139,Moderado (100-200 pb),True
ACBD56_RS13800,,98245,+,ACBD56_RS13805,glpQ,98297,-,52,Cercano (50-100 pb),False
ACBD56_RS13805,glpQ,99365,-,ACBD56_RS13810,glpT,99518,-,153,Moderado (100-200 pb),True
ACBD56_RS13810,glpT,100877,-,ACBD56_RS13815,,101302,-,425,Normal (200-500 pb),True
ACBD56_RS13815,,101650,-,ACBD56_RS13820,,102096,+,446,Normal (200-500 pb),False
ACBD56_RS13820,,103266,+,ACBD56_RS13825,,103379,-,113,Moderado (100-200 pb),False
ACBD56_RS13825,,105434,-,ACBD56_RS13830,,105723,+,289,Normal (200-500 pb),False
ACBD56_RS13830,,107076,+,ACBD56_RS13835,,107377,+,301,Normal (200-500 pb),True
ACBD56_RS13835,,108385,+,ACBD56_RS13840,,108561,+,176,Moderado (100-200 pb),True
ACBD56_RS13840,,110703,+,ACBD56_RS13845,lhgO,110699,+,-4,Solapado,True
ACBD56_RS13845,lhgO,111911,+,ACBD56_RS13850,,112283,+,372,Normal (200-500 pb),True
ACBD56_RS13850,,116027,+,ACBD56_RS13855,def,116174,+,147,Moderado (100-200 pb),True
ACBD56_RS13855,def,116681,+,ACBD56_RS13860,,116762,-,81,Cercano (50-100 pb),False
ACBD56_RS13860,,118019,-,ACBD56_RS13865,,118028,-,9,Muy cercano (< 50 pb),True
ACBD56_RS13865,,118316,-,ACBD56_RS13870,,118366,-,50,Cercano (50-100 pb),True
ACBD56_RS13870,,118810,-,ACBD56_RS13875,,119059,+,249,Normal (200-500 pb),False
ACBD56_RS13875,,120088,+,ACBD56_RS13880,,120199,+,111,Moderado (100-200 pb),True
ACBD56_RS13880,,121528,+,ACBD56_RS13885,mnhG,121602,-,74,Cercano (50-100 pb),False
ACBD56_RS13885,mnhG,121926,-,ACBD56_RS13890,,121925,-,-1,Solapado,True
ACBD56_RS13890,,122204,-,ACBD56_RS13895,,122196,-,-8,Solapado,True
ACBD56_RS13895,,122673,-,ACBD56_RS13900,,122669,-,-4,Solapado,True
ACBD56_RS13900,,124166,-,ACBD56_RS13905,,124162,-,-4,Solapado,True
ACBD56_RS13905,,124516,-,ACBD56_RS13910,mbhE,124515,-,-1,Solapado,True
ACBD56_RS13910,mbhE,127092,-,ACBD56_RS13915,,127337,-,245,Normal (200-500 pb),True
ACBD56_RS13915,,127535,-,ACBD56_RS13920,,127609,-,74,Cercano (50-100 pb),True
ACBD56_RS13920,,128551,-,ACBD56_RS13925,,128746,-,195,Moderado (100-200 pb),True
ACBD56_RS13925,,129961,-,ACBD56_RS13930,tnaA,130060,-,99,Cercano (50-100 pb),True
ACBD56_RS13930,tnaA,131479,-,ACBD56_RS13935,tnaC,131951,-,472,Normal (200-500 pb),True
ACBD56_RS13935,tnaC,132023,-,ACBD56_RS13940,,132260,+,237,Normal (200-500 pb),False
ACBD56_RS13940,,132473,+,ACBD56_RS13945,,132542,-,69,Cercano (50-100 pb),False
ACBD56_RS13945,,133025,-,ACBD56_RS13950,,133568,+,543,Grande (> 500 pb),False
ACBD56_RS13950,,135566,+,ACBD56_RS13955,cspE,135811,+,245,Normal (200-500 pb),True
ACBD56_RS13955,cspE,136024,+,ACBD56_RS13960,,136313,-,289,Normal (200-500 pb),False
ACBD56_RS13960,,137030,-,ACBD56_RS13965,,137190,-,160,Moderado (100-200 pb),True
ACBD56_RS13965,,138843,-,ACBD56_RS13970,,138836,-,-7,Solapado,True
ACBD56_RS13970,,140708,-,ACBD56_RS13975,,140709,-,1,Muy cercano (< 50 pb),True
ACBD56_RS13975,,141636,-,ACBD56_RS13980,,141652,-,16,Muy cercano (< 50 pb),True
ACBD56_RS13980,,142141,-,ACBD56_RS13985,,142137,-,-4,Solapado,True
ACBD56_RS13985,,143070,-,ACBD56_RS13990,,143073,-,3,Muy cercano (< 50 pb),True
ACBD56_RS13990,,144030,-,ACBD56_RS13995,,144331,+,301,Normal (200-500 pb),False
ACBD56_RS13995,,146248,+,ACBD56_RS14000,,146307,+,59,Cercano (50-100 pb),True
ACBD56_RS14000,,146508,+,ACBD56_RS14005,,146780,-,272,Normal (200-500 pb),False
ACBD56_RS14005,,147434,-,ACBD56_RS14010,,148079,+,645,Grande (> 500 pb),False
ACBD56_RS14010,,149288,+,ACBD56_RS14015,pepT,149538,+,250,Normal (200-500 pb),True
ACBD56_RS14015,pepT,150771,+,ACBD56_RS14020,,150942,+,171,Moderado (100-200 pb),True
ACBD56_RS14020,,151818,+,ACBD56_RS14025,norR,151814,-,-4,Solapado,False
ACBD56_RS14025,norR,153407,-,ACBD56_RS14030,hmpA,153598,+,191,Moderado (100-200 pb),False
ACBD56_RS14030,hmpA,154783,+,ACBD56_RS14035,,154926,-,143,Moderado (100-200 pb),False
ACBD56_RS14035,,155136,-,ACBD56_RS14040,,155494,+,358,Normal (200-500 pb),False
ACBD56_RS14040,,155722,+,ACBD56_RS14045,,156109,+,387,Normal (200-500 pb),True
ACBD56_RS14045,,156487,+,ACBD56_RS14050,,156762,+,275,Normal (200-500 pb),True
ACBD56_RS14050,,157002,+,ACBD56_RS14055,,157088,+,86,Cercano (50-100 pb),True
ACBD56_RS14055,,158093,+,ACBD56_RS14060,,158092,+,-1,Solapado,True
ACBD56_RS14060,,158539,+,ACBD56_RS14065,,158588,+,49,Muy cercano (< 50 pb),True
ACBD56_RS14065,,160061,+,ACBD56_RS14070,,160049,-,-12,Solapado,False
ACBD56_RS14070,,161045,-,ACBD56_RS14075,,161287,+,242,Normal (200-500 pb),False
ACBD56_RS14075,,162571,+,ACBD56_RS14080,,162572,-,1,Muy cercano (< 50 pb),False
ACBD56_RS14080,,163415,-,ACBD56_RS14085,,163480,-,65,Cercano (50-100 pb),True
ACBD56_RS14085,,164029,-,ACBD56_RS14090,,164674,+,645,Grande (> 500 pb),False
ACBD56_RS14090,,165718,+,ACBD56_RS14095,,165788,-,70,Cercano (50-100 pb),False
ACBD56_RS14095,,167183,-,ACBD56_RS14100,,167372,-,189,Moderado (100-200 pb),True
ACBD56_RS14100,,168701,-,ACBD56_RS14105,nadE,168951,-,250,Normal (200-500 pb),True
ACBD56_RS14105,nadE,169782,-,ACBD56_RS14110,,169884,+,102,Moderado (100-200 pb),False
ACBD56_RS14110,,170412,+,ACBD56_RS14115,,170607,+,195,Moderado (100-200 pb),True
ACBD56_RS14115,,172149,+,ACBD56_RS14120,,172206,-,57,Cercano (50-100 pb),False
ACBD56_RS14120,,174153,-,ACBD56_RS14125,,174402,+,249,Normal (200-500 pb),False
ACBD56_RS14125,,175377,+,ACBD56_RS14130,,175454,-,77,Cercano (50-100 pb),False
ACBD56_RS14130,,177035,-,ACBD56_RS14135,emrD,177438,-,403,Normal (200-500 pb),True
ACBD56_RS14135,emrD,178644,-,ACBD56_RS14140,,178896,+,252,Normal (200-500 pb),False
ACBD56_RS14140,,179163,+,ACBD56_RS14145,,179153,-,-10,Solapado,False
ACBD56_RS14145,,180233,-,ACBD56_RS14150,,180353,-,120,Moderado (100-200 pb),True
ACBD56_RS14150,,181610,-,ACBD56_RS14155,hlyA,182581,+,971,Grande (> 500 pb),False
ACBD56_RS14155,hlyA,184807,+,ACBD56_RS14160,,185107,+,300,Normal (200-500 pb),True
ACBD56_RS14160,,186754,+,ACBD56_RS14165,,187101,+,347,Normal (200-500 pb),True
ACBD56_RS14165,,188040,+,ACBD56_RS14170,,188049,+,9,Muy cercano (< 50 pb),True
ACBD56_RS14170,,188904,+,ACBD56_RS14175,prtV,188980,-,76,Cercano (50-100 pb),False
ACBD56_RS14175,prtV,191737,-,ACBD56_RS14180,,191821,-,84,Cercano (50-100 pb),True
ACBD56_RS14180,,192094,-,ACBD56_RS14185,,192686,+,592,Grande (> 500 pb),False
ACBD56_RS14185,,193445,+,ACBD56_RS14190,vctP,193850,+,405,Normal (200-500 pb),True
ACBD56_RS14190,vctP,194762,+,ACBD56_RS14195,vctD,194814,+,52,Cercano (50-100 pb),True
ACBD56_RS14195,vctD,195753,+,ACBD56_RS14200,vctG,195742,+,-11,Solapado,True
ACBD56_RS14200,vctG,196693,+,ACBD56_RS14205,vctC,196695,+,2,Muy cercano (< 50 pb),True
ACBD56_RS14205,vctC,197460,+,ACBD56_RS14210,,197506,-,46,Muy cercano (< 50 pb),False
ACBD56_RS14210,,198523,-,ACBD56_RS14215,vctA,198609,+,86,Cercano (50-100 pb),False
ACBD56_RS14215,vctA,200589,+,ACBD56_RS14220,,200646,+,57,Cercano (50-100 pb),True
ACBD56_RS14220,,200967,+,ACBD56_RS14225,,201236,+,269,Normal (200-500 pb),True
ACBD56_RS14225,,202430,+,ACBD56_RS14230,,202484,-,54,Cercano (50-100 pb),False
ACBD56_RS14230,,203807,-,ACBD56_RS14235,gcvP,203945,-,138,Moderado (100-200 pb),True
ACBD56_RS14235,gcvP,206810,-,ACBD56_RS14240,gcvH,206953,-,143,Moderado (100-200 pb),True
ACBD56_RS14240,gcvH,207334,-,ACBD56_RS14245,,207370,-,36,Muy cercano (< 50 pb),True
ACBD56_RS14245,,208678,-,ACBD56_RS14250,,209065,+,387,Normal (200-500 pb),False
ACBD56_RS14250,,209689,+,ACBD56_RS14255,gcvT,209931,+,242,Normal (200-500 pb),True
ACBD56_RS14255,gcvT,211062,+,ACBD56_RS14260,thrS,211354,+,292,Normal (200-500 pb),True
ACBD56_RS14260,thrS,213283,+,ACBD56_RS14265,infC,213349,+,66,Cercano (50-100 pb),True
ACBD56_RS14265,infC,213838,+,ACBD56_RS14270,rpmI,213941,+,103,Moderado (100-200 pb),True
ACBD56_RS14270,rpmI,214136,+,ACBD56_RS14275,rplT,214177,+,41,Muy cercano (< 50 pb),True
ACBD56_RS14275,rplT,214531,+,ACBD56_RS14280,intIA,214612,-,81,Cercano (50-100 pb),False
ACBD56_RS14280,intIA,215575,-,ACBD56_RS14285,,215824,+,249,Normal (200-500 pb),False
ACBD56_RS14285,,216184,+,ACBD56_RS14290,,216491,+,307,Normal (200-500 pb),True
ACBD56_RS14290,,216674,+,ACBD56_RS14295,,216852,+,178,Moderado (100-200 pb),True
ACBD56_RS14295,,217368,+,ACBD56_RS14300,,217516,+,148,Moderado (100-200 pb),True
ACBD56_RS14300,,218086,+,ACBD56_RS14305,,218381,+,295,Normal (200-500 pb),True
ACBD56_RS14305,,218561,+,ACBD56_RS14310,,218779,+,218,Normal (200-500 pb),True
ACBD56_RS14310,,219193,+,ACBD56_RS14315,,219348,-,155,Moderado (100-200 pb),False
ACBD56_RS14315,,219666,-,ACBD56_RS14320,,219684,-,18,Muy cercano (< 50 pb),True
ACBD56_RS14320,,219927,-,ACBD56_RS14325,,220163,+,236,Normal (200-500 pb),False
ACBD56_RS14325,,220601,+,ACBD56_RS14330,,220906,+,305,Normal (200-500 pb),True
ACBD56_RS14330,,221068,+,ACBD56_RS14335,,221131,-,63,Cercano (50-100 pb),False
ACBD56_RS14335,,221629,-,ACBD56_RS14340,,221625,-,-4,Solapado,True
ACBD56_RS14340,,221898,-,ACBD56_RS14345,,222159,+,261,Normal (200-500 pb),False
ACBD56_RS14345,,222663,+,ACBD56_RS14350,,222807,+,144,Moderado (100-200 pb),True
ACBD56_RS14350,,223737,+,ACBD56_RS14355,,224033,+,296,Normal (200-500 pb),True
ACBD56_RS14355,,224159,+,ACBD56_RS14360,,224659,+,500,Grande (> 500 pb),True
ACBD56_RS14360,,225127,+,ACBD56_RS14365,,225426,+,299,Normal (200-500 pb),True
ACBD56_RS14365,,225840,+,ACBD56_RS14370,,225979,+,139,Moderado (100-200 pb),True
ACBD56_RS14370,,226434,+,ACBD56_RS14375,,226583,+,149,Moderado (100-200 pb),True
ACBD56_RS14375,,227120,+,ACBD56_RS14380,,227273,+,153,Moderado (100-200 pb),True
ACBD56_RS14380,,227714,+,ACBD56_RS14385,,228336,+,622,Grande (> 500 pb),True
ACBD56_RS14385,,229041,+,ACBD56_RS14390,,229171,+,130,Moderado (100-200 pb),True
ACBD56_RS14390,,229453,+,ACBD56_RS14395,,229697,+,244,Normal (200-500 pb),True
ACBD56_RS14395,,230153,+,ACBD56_RS14400,,230299,+,146,Moderado (100-200 pb),True
ACBD56_RS14400,,230752,+,ACBD56_RS14405,,230900,+,148,Moderado (100-200 pb),True
ACBD56_RS14405,,231437,+,ACBD56_RS14410,,231556,+,119,Moderado (100-200 pb),True
ACBD56_RS14410,,231838,+,ACBD56_RS14415,,232090,+,252,Normal (200-500 pb),True
ACBD56_RS14415,,232894,+,ACBD56_RS14420,,233054,+,160,Moderado (100-200 pb),True
ACBD56_RS14420,,233519,+,ACBD56_RS14425,,233661,+,142,Moderado (100-200 pb),True
ACBD56_RS14425,,233880,+,ACBD56_RS14430,,234202,+,322,Normal (200-500 pb),True
ACBD56_RS14430,,234247,+,ACBD56_RS14435,,234227,+,-20,Solapado,True
ACBD56_RS14435,,234321,+,ACBD56_RS14440,,234772,+,451,Normal (200-500 pb),True
ACBD56_RS14440,,235429,+,ACBD56_RS14445,,235681,+,252,Normal (200-500 pb),True
ACBD56_RS14445,,235960,+,ACBD56_RS14450,,236229,+,269,Normal (200-500 pb),True
ACBD56_RS14450,,236622,+,ACBD56_RS14455,,236973,+,351,Normal (200-500 pb),True
ACBD56_RS14455,,237036,+,ACBD56_RS14460,,237025,+,-11,Solapado,True
ACBD56_RS14460,,237145,+,ACBD56_RS14465,,237304,+,159,Moderado (100-200 pb),True
ACBD56_RS14465,,237495,+,ACBD56_RS14470,,237767,+,272,Normal (200-500 pb),True
ACBD56_RS14470,,238160,+,ACBD56_RS14475,,238308,+,148,Moderado (100-200 pb),True
ACBD56_RS14475,,238944,+,ACBD56_RS14480,,239091,+,147,Moderado (100-200 pb),True
ACBD56_RS14480,,240060,+,ACBD56_RS14485,,240198,+,138,Moderado (100-200 pb),True
ACBD56_RS14485,,240540,+,ACBD56_RS14490,,240691,+,151,Moderado (100-200 pb),True
ACBD56_RS14490,,241210,+,ACBD56_RS14495,,241345,-,135,Moderado (100-200 pb),False
ACBD56_RS14495,,241663,-,ACBD56_RS14500,,241681,-,18,Muy cercano (< 50 pb),True
ACBD56_RS14500,,241924,-,ACBD56_RS14505,,242172,+,248,Normal (200-500 pb),False
ACBD56_RS14505,,242586,+,ACBD56_RS14510,,242929,+,343,Normal (200-500 pb),True
ACBD56_RS14510,,243061,+,ACBD56_RS14515,,243381,+,320,Normal (200-500 pb),True
ACBD56_RS14515,,244152,+,ACBD56_RS14520,,244337,-,185,Moderado (100-200 pb),False
ACBD56_RS14520,,244574,-,ACBD56_RS14525,,244828,+,254,Normal (200-500 pb),False
ACBD56_RS14525,,245242,+,ACBD56_RS14530,,245394,+,152,Moderado (100-200 pb),True
ACBD56_RS14530,,246033,+,ACBD56_RS14535,,246302,+,269,Normal (200-500 pb),True
ACBD56_RS14535,,246527,+,ACBD56_RS14540,,246826,+,299,Normal (200-500 pb),True
ACBD56_RS14540,,247222,+,ACBD56_RS14545,,247368,+,146,Moderado (100-200 pb),True
ACBD56_RS14545,,247884,+,ACBD56_RS14550,,248032,+,148,Moderado (100-200 pb),True
ACBD56_RS14550,,248569,+,ACBD56_RS14555,,248717,+,148,Moderado (100-200 pb),True
ACBD56_RS14555,,249170,+,ACBD56_RS14560,,249286,+,116,Moderado (100-200 pb),True
ACBD56_RS14560,,249619,+,ACBD56_RS14565,,249840,+,221,Normal (200-500 pb),True
ACBD56_RS14565,,250104,+,ACBD56_RS14570,,250308,+,204,Normal (200-500 pb),True
ACBD56_RS14570,,250560,+,ACBD56_RS14575,,250725,+,165,Moderado (100-200 pb),True
ACBD56_RS14575,,251277,+,ACBD56_RS14580,,251436,+,159,Moderado (100-200 pb),True
ACBD56_RS14580,,252114,+,ACBD56_RS14585,,252247,+,133,Moderado (100-200 pb),True
ACBD56_RS14585,,252682,+,ACBD56_RS14590,,253331,+,649,Grande (> 500 pb),True
ACBD56_RS14590,,253835,+,ACBD56_RS14595,,254107,+,272,Normal (200-500 pb),True
ACBD56_RS14595,,254341,+,ACBD56_RS14600,,254607,+,266,Normal (200-500 pb),True
ACBD56_RS14600,,255123,+,ACBD56_RS14605,,255261,+,138,Moderado (100-200 pb),True
ACBD56_RS14605,,255798,+,ACBD56_RS14610,,256007,+,209,Normal (200-500 pb),True
ACBD56_RS14610,,256397,+,ACBD56_RS14615,,256548,+,151,Moderado (100-200 pb),True
ACBD56_RS14615,,256926,+,ACBD56_RS14620,,257076,-,150,Moderado (100-200 pb),False
ACBD56_RS14620,,257607,-,ACBD56_RS14625,,257784,+,177,Moderado (100-200 pb),False
ACBD56_RS14625,,258099,+,ACBD56_RS14630,,258440,+,341,Normal (200-500 pb),True
ACBD56_RS14630,,258539,+,ACBD56_RS14635,,258783,+,244,Normal (200-500 pb),True
ACBD56_RS14635,,259320,+,ACBD56_RS14640,,259617,+,297,Normal (200-500 pb),True
ACBD56_RS14640,,259797,+,ACBD56_RS14645,,260063,+,266,Normal (200-500 pb),True
ACBD56_RS14645,,260351,+,ACBD56_RS14650,,260490,+,139,Moderado (100-200 pb),True
ACBD56_RS14650,,261023,+,ACBD56_RS14655,,261320,+,297,Normal (200-500 pb),True
ACBD56_RS14655,,261500,+,ACBD56_RS14660,,261715,+,215,Normal (200-500 pb),True
ACBD56_RS14660,,262141,+,ACBD56_RS14665,,262302,+,161,Moderado (100-200 pb),True
ACBD56_RS14665,,262839,+,ACBD56_RS14670,,263000,+,161,Moderado (100-200 pb),True
ACBD56_RS14670,,264149,+,ACBD56_RS14675,,264308,+,159,Moderado (100-200 pb),True
ACBD56_RS14675,,264530,+,ACBD56_RS14680,,264539,-,9,Muy cercano (< 50 pb),False
ACBD56_RS14680,,265717,-,ACBD56_RS14685,,265791,+,74,Cercano (50-100 pb),False
ACBD56_RS14685,,266085,+,ACBD56_RS14690,,266250,+,165,Moderado (100-200 pb),True
ACBD56_RS14690,,266550,+,ACBD56_RS14695,,266746,+,196,Moderado (100-200 pb),True
ACBD56_RS14695,,267079,+,ACBD56_RS14700,,267065,+,-14,Solapado,True
ACBD56_RS14700,,267380,+,ACBD56_RS14705,,267941,+,561,Grande (> 500 pb),True
ACBD56_RS14705,,268946,+,ACBD56_RS14710,,269240,+,294,Normal (200-500 pb),True
ACBD56_RS14710,,269393,+,ACBD56_RS14715,,269591,-,198,Moderado (100-200 pb),False
ACBD56_RS14715,,269870,-,ACBD56_RS14720,,269866,-,-4,Solapado,True
ACBD56_RS14720,,270151,-,ACBD56_RS14725,,270599,+,448,Normal (200-500 pb),False
ACBD56_RS14725,,270657,+,ACBD56_RS14730,,270852,+,195,Moderado (100-200 pb),True
ACBD56_RS14730,,271320,+,ACBD56_RS14735,,271613,+,293,Normal (200-500 pb),True
ACBD56_RS14735,,271796,+,ACBD56_RS14740,,271992,+,196,Moderado (100-200 pb),True
ACBD56_RS14740,,272475,+,ACBD56_RS14745,,272614,-,139,Moderado (100-200 pb),False
ACBD56_RS14745,,272893,-,ACBD56_RS14750,,272889,-,-4,Solapado,True
ACBD56_RS14750,,273174,-,ACBD56_RS14755,,273379,+,205,Normal (200-500 pb),False
ACBD56_RS14755,,273570,+,ACBD56_RS14760,,273850,+,280,Normal (200-500 pb),True
ACBD56_RS14760,,274198,+,ACBD56_RS14765,,274340,-,142,Moderado (100-200 pb),False
ACBD56_RS14765,,274838,-,ACBD56_RS14770,,274834,-,-4,Solapado,True
