gen1_locus,gen1_nombre,gen1_fin,gen1_hebra,gen2_locus,gen2_nombre,gen2_inicio,gen2_hebra,distancia_pb,tipo,misma_hebra
b0181,lpxA,203348,+,b0182,lpxB,203347,+,-1,Solapado,True
b0182,lpxB,204496,+,b0183,rnhB,204492,+,-4,Solapado,True
b0183,rnhB,205089,+,b0184,dnaE,205125,+,36,Muy cercano (< 50 pb),True
b0184,dnaE,208608,+,b0185,accA,208620,+,12,Muy cercano (< 50 pb),True
b0185,accA,209580,+,b0186,ldcC,209678,+,98,Cercano (50-100 pb),True
b0186,ldcC,211820,+,b0187,yaeR,211876,+,56,Cercano (50-100 pb),True
b0187,yaeR,212266,+,b0188,tilS,212330,+,64,Cercano (50-100 pb),True
b0188,tilS,213629,+,b0189,rof,213677,-,48,Muy cercano (< 50 pb),False
b0189,rof,213932,-,b4406,yaeP,213924,-,-8,Solapado,True
b4406,yaeP,214125,-,b0190,yaeQ,214290,+,165,Moderado (100-200 pb),False
b0190,yaeQ,214836,+,b0191,arfB,214832,+,-4,Solapado,True
b0191,arfB,215255,+,b0192,nlpE,215268,+,13,Muy cercano (< 50 pb),True
b0192,nlpE,215979,+,b0193,yaeF,216178,-,199,Moderado (100-200 pb),False
b0193,yaeF,217003,-,b0194,proS,217056,-,53,Cercano (50-100 pb),True
b0194,proS,218775,-,b0195,trmO,218886,-,111,Moderado (100-200 pb),True
b0195,trmO,219594,-,b0196,rcsF,219590,-,-4,Solapado,True
b0196,rcsF,219995,-,b0197,metQ,220112,-,117,Moderado (100-200 pb),True
b0197,metQ,220928,-,b0198,metI,220967,-,39,Muy cercano (< 50 pb),True
b0198,metI,221621,-,b0199,metN,221613,-,-8,Solapado,True
b0199,metN,222645,-,b0200,gmhB,222832,+,187,Moderado (100-200 pb),False
b0200,gmhB,223408,+,b0207,dkgB,229166,+,5758,Grande (> 500 pb),True
b0207,dkgB,229970,+,b0208,yafC,229966,-,-4,Solapado,False
b0208,yafC,230881,-,b0209,yafD,231121,+,240,Normal (200-500 pb),False
b0209,yafD,231922,+,b0210,yafE,231925,+,3,Muy cercano (< 50 pb),True
b0210,yafE,232549,+,b0211,mltD,232596,-,47,Muy cercano (< 50 pb),False
b0211,mltD,233955,-,b0212,gloB,234026,-,71,Cercano (50-100 pb),True
b0212,gloB,234782,-,b4815,ykfO,234287,+,-495,Solapado,False
b4815,ykfO,234320,+,b0213,yafS,234815,+,495,Normal (200-500 pb),True
b0213,yafS,235538,+,b0214,rnhA,235534,-,-4,Solapado,False
b0214,rnhA,236002,-,b0215,dnaQ,236066,+,64,Cercano (50-100 pb),False
b0215,dnaQ,236798,+,b0217,yafT,237334,+,536,Grande (> 500 pb),True
b0217,yafT,238120,+,b4586,ykfM,238256,-,136,Moderado (100-200 pb),False
b4586,ykfM,238736,-,b0219,yafV,239418,-,682,Grande (> 500 pb),True
b0219,yafV,240189,-,b0220,ivy,240342,+,153,Moderado (100-200 pb),False
b0220,ivy,240816,+,b0221,fadE,240858,-,42,Muy cercano (< 50 pb),False
b0221,fadE,243303,-,b0222,gmhA,243542,+,239,Normal (200-500 pb),False
b0222,gmhA,244121,+,b0223,yafJ,244326,+,205,Normal (200-500 pb),True
b0223,yafJ,245094,+,b0224,dpaA,245064,-,-30,Solapado,False
b0224,dpaA,245805,-,b0225,yafQ,245960,-,155,Moderado (100-200 pb),True
b0225,yafQ,246239,-,b0226,dinJ,246241,-,2,Muy cercano (< 50 pb),True
b0226,dinJ,246502,-,b0227,yafL,246711,+,209,Normal (200-500 pb),False
b0227,yafL,247461,+,b0228,rayT,247636,+,175,Moderado (100-200 pb),True
b0228,rayT,248134,+,b0231,dinB,250897,+,2763,Grande (> 500 pb),True
b0231,dinB,251953,+,b0232,yafN,252004,+,51,Cercano (50-100 pb),True
b0232,yafN,252298,+,b0233,yafO,252300,+,2,Muy cercano (< 50 pb),True
b0233,yafO,252699,+,b0234,yafP,252708,+,9,Muy cercano (< 50 pb),True
b0234,yafP,253161,+,b0237,pepD,254258,-,1097,Grande (> 500 pb),False
b0237,pepD,255716,-,b0238,gpt,255976,+,260,Normal (200-500 pb),False
b0238,gpt,256435,+,b0239,frsA,256526,+,91,Cercano (50-100 pb),True
b0239,frsA,257771,+,b0240,crl,257828,+,57,Cercano (50-100 pb),True
b0240,crl,259006,+,b4710,insB9,257922,-,-1084,Solapado,False
b4710,insB9,258426,-,b4709,insA9,258344,-,-82,Solapado,True
b4709,insA9,258620,-,b0241,phoE,259044,-,424,Normal (200-500 pb),True
b0241,phoE,260100,-,b0242,proB,260387,+,287,Normal (200-500 pb),False
b0242,proB,261491,+,b0243,proA,261502,+,11,Muy cercano (< 50 pb),True
b0243,proA,262756,+,b0245,ykfI,263327,-,571,Grande (> 500 pb),False
b0245,ykfI,263669,-,b0246,yafW,263689,-,20,Muy cercano (< 50 pb),True
b0246,yafW,264007,-,b4504,ykfH,264025,-,18,Muy cercano (< 50 pb),True
b4504,ykfH,264247,-,b0247,ykfG,264255,-,8,Muy cercano (< 50 pb),True
b0247,ykfG,264732,-,b0248,yafX,264747,-,15,Muy cercano (< 50 pb),True
b0248,yafX,265206,-,b0249,ykfF,265303,-,97,Cercano (50-100 pb),True
b0249,ykfF,265543,-,b0250,ykfB,265619,-,76,Cercano (50-100 pb),True
b0250,ykfB,266087,-,b0251,yafY,266109,-,22,Muy cercano (< 50 pb),True
b0251,yafY,266553,-,b0252,yafZ,267183,-,630,Grande (> 500 pb),True
b0252,yafZ,268005,-,b0253,ykfA,268096,-,91,Cercano (50-100 pb),True
b0253,ykfA,268960,-,b0254,perR,269288,-,328,Normal (200-500 pb),True
b0254,perR,270182,-,b4587,insN,270277,+,95,Cercano (50-100 pb),False
b4587,insN,272190,+,b0256,insI1,270602,+,-1588,Solapado,True
b0256,insI1,271754,+,b0258,ykfC,272846,+,1092,Grande (> 500 pb),True
b0258,ykfC,273992,+,b0259,insH1,274100,-,108,Moderado (100-200 pb),False
b0259,insH1,275081,-,b0260,mmuP,275324,+,243,Normal (200-500 pb),False
b0260,mmuP,276728,+,b0261,mmuM,276714,+,-14,Solapado,True
b0261,mmuM,277647,+,b0262,afuC,277755,-,108,Moderado (100-200 pb),False
b0262,afuC,278802,-,b0264,insB2,279177,-,375,Normal (200-500 pb),True
b0264,insB2,279681,-,b0265,insA2,279599,-,-82,Solapado,True
b0265,insA2,279875,-,b0266,yagB,280384,-,509,Grande (> 500 pb),True
b0266,yagB,280735,-,b0267,yagA,280828,-,93,Cercano (50-100 pb),True
b0267,yagA,281983,-,b0268,yagE,282277,+,294,Normal (200-500 pb),False
b0268,yagE,283186,+,b0269,yagF,283200,+,14,Muy cercano (< 50 pb),True
b0269,yagF,285168,+,b0270,yagG,285394,+,226,Normal (200-500 pb),True
b0270,yagG,286777,+,b0271,yagH,286788,+,11,Muy cercano (< 50 pb),True
b0271,yagH,288399,+,b0272,xynR,288403,-,4,Muy cercano (< 50 pb),False
b0272,xynR,289162,-,b0273,argF,289300,-,138,Moderado (100-200 pb),True
b0273,argF,290305,-,b4766,argL,290274,-,-31,Solapado,True
b4766,argL,290370,-,b4688,ykgS,290509,+,139,Moderado (100-200 pb),False
b4688,ykgS,290638,+,b0274,insB3,290648,-,10,Muy cercano (< 50 pb),False
b0274,insB3,291152,-,b0275,insA3,291070,-,-82,Solapado,True
b0275,insA3,291346,-,b0276,yagJ,291499,+,153,Moderado (100-200 pb),False
b0276,yagJ,292231,+,b0277,yagK,292321,-,90,Cercano (50-100 pb),False
b0277,yagK,292948,-,b0278,yagL,293219,-,271,Normal (200-500 pb),True
b0278,yagL,293918,-,b0279,yagM,293944,-,26,Muy cercano (< 50 pb),True
b0279,yagM,294799,-,b4729,ykgV,294917,-,118,Moderado (100-200 pb),True
b4729,ykgV,295142,-,b0280,yagN,295138,-,-4,Solapado,True
b0280,yagN,295579,-,b0281,intF,295695,-,116,Moderado (100-200 pb),True
b0281,intF,297096,-,b0282,yagP,297380,-,284,Normal (200-500 pb),True
b0282,yagP,297791,-,b0283,paoD,297769,-,-22,Solapado,True
b0283,paoD,298726,-,b0284,paoC,298735,-,9,Muy cercano (< 50 pb),True
b0284,paoC,300934,-,b0285,paoB,300930,-,-4,Solapado,True
b0285,paoB,301887,-,b0286,paoA,301883,-,-4,Solapado,True
b0286,paoA,302573,-,b0287,yagU,302990,+,417,Normal (200-500 pb),False
b0287,yagU,303605,+,b0288,ykgJ,303852,-,247,Normal (200-500 pb),False
b0288,ykgJ,304182,-,b0289,ecpE,304494,-,312,Normal (200-500 pb),True
b0289,ecpE,305205,-,b0290,ecpD,305173,-,-32,Solapado,True
b0290,ecpD,306817,-,b0291,ecpC,306806,-,-11,Solapado,True
b0291,ecpC,309332,-,b0292,ecpB,309357,-,25,Muy cercano (< 50 pb),True
b0292,ecpB,310026,-,b0293,ecpA,310083,-,57,Cercano (50-100 pb),True
b0293,ecpA,310671,-,b0294,matA,310745,-,74,Cercano (50-100 pb),True
b0294,matA,311336,-,b0295,ykgL,312111,+,775,Grande (> 500 pb),False
b0295,ykgL,312339,+,b4506,ykgO,312373,-,34,Muy cercano (< 50 pb),False
b4506,ykgO,312514,-,b0296,ykgM,312513,-,-1,Solapado,True
b0296,ykgM,312777,-,b4671,ykgR,313140,-,363,Normal (200-500 pb),True
b4671,ykgR,313242,-,b0298,insE1,315290,+,2048,Grande (> 500 pb),False
b0298,insE1,315590,+,b0299,insF1,315586,+,-4,Solapado,True
b0299,insF1,316453,+,b0301,rclC,317725,-,1272,Grande (> 500 pb),False
b0301,rclC,318319,-,b0303,rclB,318330,-,11,Muy cercano (< 50 pb),True
b0303,rclB,318567,-,b0304,rclA,318675,-,108,Moderado (100-200 pb),True
b0304,rclA,320001,-,b0305,rclR,320226,+,225,Normal (200-500 pb),False
b0305,rclR,321081,+,b0306,ykgE,321607,+,526,Grande (> 500 pb),True
b0306,ykgE,322327,+,b0307,ykgF,322337,+,10,Muy cercano (< 50 pb),True
b0307,ykgF,323765,+,b0308,ykgG,323757,+,-8,Solapado,True
b0308,ykgG,324453,+,b0310,ykgH,324695,-,242,Normal (200-500 pb),False
b0310,ykgH,325364,-,b0311,betA,325576,-,212,Normal (200-500 pb),True
b0311,betA,327247,-,b0312,betB,327260,-,13,Muy cercano (< 50 pb),True
b0312,betB,328733,-,b0313,betI,328746,-,13,Muy cercano (< 50 pb),True
b0313,betI,329334,-,b0314,betT,329462,+,128,Moderado (100-200 pb),False
b0314,betT,331496,+,b4730,yahV,331801,+,305,Normal (200-500 pb),True
b4730,yahV,331876,+,b0315,pdeL,332370,+,494,Normal (200-500 pb),True
b0315,pdeL,333459,+,b0316,yahB,333500,-,41,Muy cercano (< 50 pb),False
b0316,yahB,334433,-,b0317,yahC,334524,-,91,Cercano (50-100 pb),True
b0317,yahC,335022,-,b0318,yahD,335279,+,257,Normal (200-500 pb),False
b0318,yahD,335885,+,b0319,yahE,335924,+,39,Muy cercano (< 50 pb),True
b0319,yahE,336788,+,b0320,yahF,336777,+,-11,Solapado,True
b0320,yahF,338325,+,b0321,yahG,338324,+,-1,Solapado,True
b0321,yahG,339743,+,b0322,yahH,339768,+,25,Muy cercano (< 50 pb),True
b0322,yahH,340089,+,b0323,yahI,340164,+,75,Cercano (50-100 pb),True
b0323,yahI,341115,+,b0324,yahJ,341124,+,9,Muy cercano (< 50 pb),True
b0324,yahJ,342507,+,b0325,yahK,342883,+,376,Normal (200-500 pb),True
b0325,yahK,343933,+,b0326,yahL,344175,+,242,Normal (200-500 pb),True
b0326,yahL,344991,+,b4845,xtpA,345251,+,260,Normal (200-500 pb),True
b4845,xtpA,345434,+,b0327,yahM,345403,+,-31,Solapado,True
b0327,yahM,345649,+,b0328,yahN,345665,-,16,Muy cercano (< 50 pb),False
b0328,yahN,346337,-,b0329,yahO,346483,+,146,Moderado (100-200 pb),False
b0329,yahO,346759,+,b0330,prpR,346856,-,97,Cercano (50-100 pb),False
b0330,prpR,348443,-,b0331,prpB,348681,+,238,Normal (200-500 pb),False
b0331,prpB,349572,+,b0333,prpC,350011,+,439,Normal (200-500 pb),True
b0333,prpC,351181,+,b0334,prpD,351214,+,33,Muy cercano (< 50 pb),True
b0334,prpD,352666,+,b0335,prpE,352705,+,39,Muy cercano (< 50 pb),True
b0335,prpE,354592,+,b0336,codB,354921,+,329,Normal (200-500 pb),True
b0336,codB,356181,+,b0337,codA,356170,+,-11,Solapado,True
b0337,codA,357454,+,b0338,cynR,357790,-,336,Normal (200-500 pb),False
b0338,cynR,358690,-,b0339,cynT,358798,+,108,Moderado (100-200 pb),False
