locus_tag,nombre_gen,inicio,fin,longitud_pb,num_aminoacidos,hebra,contenido_gc,producto,proteina_id
b0071,leuD,78847,79453,606,202,-,51.49,3-isopropylmalate dehydratase subunit LeuD,NP_414613.1
b0072,leuC,79463,80864,1401,467,-,55.75,3-isopropylmalate dehydratase subunit LeuC,NP_414614.1
b0073,leuB,80866,81958,1092,364,-,55.49,3-isopropylmalate dehydrogenase,NP_414615.4
b0074,leuA,81957,83529,1572,524,-,52.99,2-isopropylmalate synthase,NP_414616.1
b0075,leuL,83621,83708,87,29,-,47.13,leu operon leader peptide,NP_414617.1
b0076,leuO,84367,85312,945,315,+,45.71,DNA-binding transcriptional dual regulator LeuO,NP_414618.4
b4726,yabR,85466,85511,45,15,-,31.11,protein YabR,YP_009518736.1
b0077,ilvI,85629,87354,1725,575,+,52.93,"acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit",YP_025294.2
b0078,ilvH,87356,87848,492,164,+,50.2,"acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit",NP_414620.1
b0080,cra,88027,89032,1005,335,+,54.93,DNA-binding transcriptional regulator Cra,NP_414622.1
b0081,mraZ,89633,90092,459,153,+,52.07,DNA-binding transcriptional repressor MraZ,NP_414623.1
b0082,rsmH,90093,91035,942,314,+,55.2,16S rRNA m(4)C1402 methyltransferase,NP_414624.1
b0083,ftsL,91031,91397,366,122,+,50.27,cell division protein FtsL,NP_414625.1
b0084,ftsI,91412,93179,1767,589,+,53.99,peptidoglycan DD-transpeptidase FtsI,NP_414626.1
b0085,murE,93165,94653,1488,496,+,56.59,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",NP_414627.1
b0086,murF,94649,96008,1359,453,+,55.11,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,NP_414628.1
b0087,mraY,96001,97084,1083,361,+,53.37,phospho-N-acetylmuramoyl-pentapeptide- transferase,NP_414629.1
b0088,murD,97086,98403,1317,439,+,54.9,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,NP_414630.1
b0089,ftsW,98402,99647,1245,415,+,53.01,peptidoglycan glycosyltransferase FtsW,NP_414631.1
b0090,murG,99643,100711,1068,356,+,56.09,N-acetylglucosaminyl transferase,NP_414632.1
b0091,murC,100764,102240,1476,492,+,54.74,UDP-N-acetylmuramate--L-alanine ligase,NP_414633.1
b0092,ddlB,102232,103153,921,307,+,51.57,D-alanine--D-alanine ligase B,NP_414634.1
b0093,ftsQ,103154,103985,831,277,+,53.31,cell division protein FtsQ,NP_414635.1
b0094,ftsA,103981,105244,1263,421,+,52.1,cell division protein FtsA,NP_414636.1
b0095,ftsZ,105304,106456,1152,384,+,54.17,cell division protein FtsZ,NP_414637.1
b0096,lpxC,106556,107474,918,306,+,51.09,UDP-3-O-acyl-N-acetylglucosamine deacetylase,NP_414638.1
b0097,secM,107704,108217,513,171,+,54.0,SecA translation regulator,NP_414639.2
b0098,secA,108278,110984,2706,902,+,52.4,protein translocation ATPase,NP_414640.1
b0099,mutT,111043,111433,390,130,+,49.23,8-oxo-dGTP diphosphatase,NP_414641.1
b0101,yacG,111648,111846,198,66,-,51.52,DNA gyrase inhibitor YacG,NP_414643.1
b0102,zapD,111855,112599,744,248,-,51.48,cell division factor ZapD,NP_414644.1
b0103,coaE,112598,113219,621,207,-,52.66,dephospho-CoA kinase,NP_414645.1
b4727,yacM,113243,113288,45,15,+,31.11,protein YacM,YP_009518737.1
b0104,guaC,113443,114487,1044,348,+,51.34,GMP reductase,NP_414646.1
b0106,hofC,114521,115724,1203,401,-,51.95,inner membrane protein HofC,NP_414648.1
b0107,hofB,115713,117099,1386,462,-,53.46,T2SSE family protein,NP_414649.1
b0108,ppdD,117108,117549,441,147,-,53.06,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,NP_414650.1
b0109,nadC,117751,118645,894,298,-,53.13,quinolinate phosphoribosyltransferase (decarboxylating),NP_414651.1
b0110,ampD,118732,119284,552,184,+,53.8,"1,6-anhydro-N-acetylmuramoyl-L-alanine amidase",NP_414652.1
b0111,ampE,119280,120135,855,285,+,52.05,protein AmpE,NP_414653.1
b0112,aroP,120177,121551,1374,458,-,52.69,aromatic amino acid:H(+) symporter AroP,NP_414654.1
b0113,pdhR,122091,122856,765,255,+,55.82,DNA-binding transcriptional dual regulator PdhR,NP_414655.1
b0114,aceE,123016,125680,2664,888,+,53.04,pyruvate dehydrogenase E1 component,NP_414656.1
b0115,aceF,125694,127587,1893,631,+,54.68,pyruvate dehydrogenase E2 subunit,NP_414657.1
b0116,lpd,127911,129336,1425,475,+,53.05,lipoamide dehydrogenase,NP_414658.1
b0117,yacH,129406,131260,1854,618,-,53.88,DUF3300 domain-containing protein YacH,NP_414659.1
b0118,acnB,131614,134212,2598,866,+,55.89,AcnB,NP_414660.1
b0119,yacL,134387,134750,363,121,+,52.07,PF06062 family protein YacL,NP_414661.2
b0120,speD,134787,135582,795,265,-,46.16,S-adenosylmethionine decarboxylase proenzyme,NP_414662.1
b0121,speE,135597,136464,867,289,-,50.75,spermidine synthase,NP_414663.1
b0122,yacC,136569,136917,348,116,-,50.0,putative lipoprotein YacC,NP_414664.4
b0123,cueO,137082,138633,1551,517,+,54.67,multicopper oxidase CueO,NP_414665.1
b0124,gcd,138834,141225,2391,797,-,55.42,quinoprotein glucose dehydrogenase,NP_414666.1
b0125,hpt,141430,141967,537,179,+,50.65,hypoxanthine phosphoribosyltransferase,NP_414667.4
b0126,can,142007,142670,663,221,-,50.68,carbonic anhydrase 2,NP_414668.1
b0127,yadG,142778,143705,927,309,+,49.62,putative ABC transporter ATP-binding protein YadG,NP_414669.1
b0128,yadH,143701,144472,771,257,+,50.71,putative ABC transporter membrane subunit YadH,NP_414670.1
b0129,yadI,144576,145017,441,147,+,49.21,putative PTS enzyme IIA component YadI,NP_414671.1
b0130,yadE,145080,146310,1230,410,+,49.51,putative polysaccharide deacetylase lipoprotein YadE,NP_414672.1
b0131,panD,146313,146694,381,127,-,52.49,aspartate 1-decarboxylase proenzyme,NP_414673.1
b0132,rpnC,146967,147870,903,301,+,48.84,recombination-promoting nuclease RpnC,NP_414674.1
b0133,panC,147943,148795,852,284,-,52.7,pantothenate synthetase,NP_414675.1
b0134,panB,148806,149601,795,265,-,54.59,3-methyl-2-oxobutanoate hydroxymethyltransferase,NP_414676.1
b0135,yadC,149714,150953,1239,413,-,40.36,fimbrial tip-adhesin YadC,NP_414677.1
b0136,yadK,151002,151599,597,199,-,41.37,putative fimbrial protein YadK,NP_414678.1
b0137,yadL,151625,152231,606,202,-,42.57,putative fimbrial protein YadL,NP_414679.1
b0138,yadM,152242,152812,570,190,-,42.81,putative fimbrial protein YadM,NP_414680.4
b0139,htrE,152828,155426,2598,866,-,43.34,putative fimbrial usher protein HtrE,NP_414681.1
b0140,yadV,155460,156201,741,247,-,44.4,putative fimbrial chaperone YadV,NP_414682.1
b0141,yadN,156298,156883,585,195,-,44.79,putative fimbrial protein YadN,NP_414683.1
b0142,folK,157252,157732,480,160,-,50.0,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,NP_414684.1
b0143,pcnB,157728,159126,1398,466,-,55.87,poly(A) polymerase I,NP_414685.4
b0144,gluQ,159185,160112,927,309,-,53.61,glutamyl-Q tRNA(Asp) synthetase,NP_414686.3
b0145,dksA,160148,160604,456,152,-,52.63,RNA polymerase-binding transcription factor DksA,NP_414687.1
b0146,sfsA,160781,161486,705,235,-,49.36,sugar fermentation stimulation protein A,NP_414688.1
b0147,thpR,161500,162031,531,177,-,55.93,"RNA 2',3'-cyclic phosphodiesterase",NP_414689.4
b0148,hrpB,162104,164534,2430,810,+,56.58,RNA-dependent NTPase HrpB,NP_414690.4
b0149,mrcB,164729,167264,2535,845,+,55.15,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,NP_414691.1
b0149,mrcB,164864,167264,2400,800,+,55.38,PBP-1Bgamma,YP_010051172.1
b0150,fhuA,167483,169727,2244,748,+,51.25,ferrichrome outer membrane transporter/phage receptor,NP_414692.1
b0151,fhuC,169777,170575,798,266,+,56.89,Fe(3(+)) hydroxamate ABC transporter ATP binding subunit,NP_414693.1
b0152,fhuD,170574,171465,891,297,+,54.66,Fe(3(+)) hydroxamate ABC transporter periplasmic binding protein,NP_414694.1
b0153,fhuB,171461,173444,1983,661,+,59.76,Fe(3(+)) hydroxamate ABC transporter membrane subunit,NP_414695.1
b0154,hemL,173601,174882,1281,427,-,55.5,"glutamate-1-semialdehyde 2,1-aminomutase",NP_414696.1
b4765,yadX,175047,175095,48,16,+,37.5,protein YadX,YP_010051173.1
b0155,clcA,175106,176528,1422,474,+,53.87,chloride:H(+) antiporter ClcA,NP_414697.1
b4728,yadW,176551,176617,66,22,+,39.39,protein YadW,YP_009518738.1
b0156,erpA,176609,176954,345,115,+,50.72,iron-sulfur cluster insertion protein ErpA,NP_414698.1
b0157,yadS,177000,177624,624,208,-,53.69,PF03458 family protein YadS,NP_414699.1
b0158,btuF,177661,178462,801,267,-,52.93,vitamin B12 ABC transporter periplasmic binding protein,NP_414700.1
b0159,mtn,178454,179153,699,233,-,52.36,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,NP_414701.1
b0160,dgt,179236,180754,1518,506,+,47.96,dGTP triphosphohydrolase,NP_414702.1
b0161,degP,180883,182308,1425,475,+,53.96,periplasmic serine endoprotease DegP,NP_414703.1
b0162,cdaR,182462,183620,1158,386,+,52.85,DNA-binding transcriptional activator CdaR,NP_414704.4
b0163,yaeH,183708,184095,387,129,-,44.44,DUF3461 domain-containing protein YaeH,NP_414705.1
b0164,yaeI,184256,185069,813,271,-,51.41,phosphodiesterase YaeI,NP_414706.2
b0166,dapD,185122,185947,825,275,-,53.09,tetrahydrodipicolinate succinylase,NP_414708.1
b0167,glnD,185977,188650,2673,891,-,53.95,protein-PII uridylyltransferase/uridylyl-removing enzyme,NP_414709.1
b0168,map,188711,189506,795,265,-,50.44,methionine aminopeptidase,NP_414710.1
b0169,rpsB,189873,190599,726,242,+,51.38,30S ribosomal subunit protein S2,NP_414711.1
b0170,tsf,190856,191708,852,284,+,49.88,protein chain elongation factor EF-Ts,NP_414712.1
b0171,pyrH,191854,192580,726,242,+,52.75,UMP kinase,NP_414713.1
b0172,frr,192871,193429,558,186,+,50.9,ribosome-recycling factor,NP_414714.1
b0173,dxr,193520,194717,1197,399,+,52.63,1-deoxy-D-xylulose 5-phosphate reductoisomerase,NP_414715.1
b0174,ispU,194902,195664,762,254,+,50.0,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",NP_414716.1
b0175,cdsA,195676,196534,858,286,+,50.82,CDP-diglyceride synthetase,NP_414717.2
b0176,rseP,196545,197898,1353,451,+,50.92,intramembrane zinc metalloprotease RseP,NP_414718.1
b0177,bamA,197927,200360,2433,811,+,50.68,outer membrane protein assembly factor BamA,NP_414719.1
b0178,skp,200481,200967,486,162,+,50.21,periplasmic chaperone Skp,NP_414720.1
b0179,lpxD,200970,201996,1026,342,+,52.83,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,NP_414721.1
b0180,fabZ,202100,202556,456,152,+,50.44,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,NP_414722.1
b0181,lpxA,202559,203348,789,263,+,53.11,acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase,NP_414723.1
b0182,lpxB,203347,204496,1149,383,+,53.79,lipid A disaccharide synthase,NP_414724.1
b0183,rnhB,204492,205089,597,199,+,57.29,RNase HII,NP_414725.1
b0184,dnaE,205125,208608,3483,1161,+,54.95,DNA polymerase III subunit alpha,NP_414726.1
b0185,accA,208620,209580,960,320,+,52.29,acetyl-CoA carboxyltransferase subunit alpha,NP_414727.1
b0186,ldcC,209678,211820,2142,714,+,50.89,lysine decarboxylase 2,NP_414728.1
b0187,yaeR,211876,212266,390,130,+,50.51,VOC domain-containing protein YaeR,NP_414729.4
b0188,tilS,212330,213629,1299,433,+,58.04,tRNA(Ile)-lysidine synthetase,NP_414730.1
b0189,rof,213677,213932,255,85,-,47.84,modulator of Rho-dependent transcription termination,NP_414731.2
b4406,yaeP,213924,214125,201,67,-,50.75,PF06786 family protein YaeP,YP_026160.1
b0190,yaeQ,214290,214836,546,182,+,52.38,uncharacterized protein YaeQ,NP_414732.1
b0191,arfB,214832,215255,423,141,+,54.14,"peptidyl-tRNA hydrolase, ribosome rescue factor",NP_414733.1
b0192,nlpE,215268,215979,711,237,+,52.32,sensor lipoprotein NlpE,NP_414734.1
b0193,yaeF,216178,217003,825,275,-,49.33,peptidase C92 family protein YaeF,NP_414735.4
b0194,proS,217056,218775,1719,573,-,54.51,proline--tRNA ligase,NP_414736.1
b0195,trmO,218886,219594,708,236,-,55.23,tRNA m(6)t(6)A37 methyltransferase,NP_414737.1
b0196,rcsF,219590,219995,405,135,-,53.33,sensor lipoprotein RcsF,NP_414738.1
b0197,metQ,220112,220928,816,272,-,49.14,L-methionine/D-methionine ABC transporter membrane anchored binding protein,NP_414739.1
b0198,metI,220967,221621,654,218,-,52.29,L-methionine/D-methionine ABC transporter membrane subunit,NP_414740.1
b0199,metN,221613,222645,1032,344,-,52.91,L-methionine/D-methionine ABC transporter ATP binding subunit,NP_414741.1
b0200,gmhB,222832,223408,576,192,+,50.17,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",NP_414742.1
b0207,dkgB,229166,229970,804,268,+,46.27,methylglyoxal reductase DkgB,NP_414743.1
b0208,yafC,229966,230881,915,305,-,49.62,DNA-binding transcriptional regulator YafC,NP_414744.1
b0209,yafD,231121,231922,801,267,+,52.68,endonuclease/exonuclease/phosphatase domain-containing protein YafD,NP_414745.1
b0210,yafE,231925,232549,624,208,+,49.04,putative S-adenosylmethionine-dependent methyltransferase,NP_414746.1
b0211,mltD,232596,233955,1359,453,-,51.95,membrane-bound lytic murein transglycosylase D,NP_414747.1
b0212,gloB,234026,234782,756,252,-,40.21,hydroxyacylglutathione hydrolase GloB,NP_414748.1
b4815,ykfO,234287,234320,33,11,+,39.39,protein YkfO,YP_010283908.1
b0213,yafS,234815,235538,723,241,+,49.38,putative S-adenosyl-L-methionine-dependent methyltransferase,NP_414749.2
b0214,rnhA,235534,236002,468,156,-,50.43,ribonuclease HI,NP_414750.1
b0215,dnaQ,236066,236798,732,244,+,50.14,DNA polymerase III subunit epsilon,NP_414751.1
b0217,yafT,237334,238120,786,262,+,42.75,lipoprotein YafT,NP_414752.1
b4586,ykfM,238256,238736,480,160,-,30.63,uncharacterized protein YkfM,YP_001165307.1
b0219,yafV,239418,240189,771,257,-,54.73,2-oxoglutaramate amidase,NP_414754.1
b0220,ivy,240342,240816,474,158,+,50.0,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",NP_414755.1
b0221,fadE,240858,243303,2445,815,-,56.89,acyl-CoA dehydrogenase,NP_414756.2
b0222,gmhA,243542,244121,579,193,+,50.95,D-sedoheptulose 7-phosphate isomerase,NP_414757.1
b0223,yafJ,244326,245094,768,256,+,53.65,putative glutamine amidotransferase YafJ,NP_414758.1
b0224,dpaA,245064,245805,741,247,-,48.45,peptidoglycan meso-diaminopimelic acid protein amidase A,NP_414759.1
b0225,yafQ,245960,246239,279,93,-,39.43,ribosome-dependent mRNA interferase toxin YafQ,NP_414760.1
b0226,dinJ,246241,246502,261,87,-,46.74,antitoxin/DNA-binding transcriptional repressor DinJ,NP_414761.1
b0227,yafL,246711,247461,750,250,+,52.4,NlpC/P60 family protein YafL,NP_414762.1
b0228,rayT,247636,248134,498,166,+,44.78,REP-associated tyrosine transposase,NP_414763.1
b0231,dinB,250897,251953,1056,352,+,54.17,DNA polymerase IV,NP_414766.1
b0232,yafN,252004,252298,294,98,+,42.18,antitoxin YafN,NP_414767.1
b0233,yafO,252300,252699,399,133,+,43.61,ribosome-dependent mRNA interferase toxin YafO,NP_414768.1
b0234,yafP,252708,253161,453,151,+,43.27,putative N-acetyltransferase YafP,NP_414769.1
b0237,pepD,254258,255716,1458,486,-,51.37,peptidase D,NP_414772.1
b0238,gpt,255976,256435,459,153,+,51.85,xanthine-guanine phsophoribosyltransferase,NP_414773.1
b0239,frsA,256526,257771,1245,415,+,53.65,fermentation-respiration switch protein,NP_414774.1
b0240,crl,257828,259006,1178,392,+,50.5,RNA polymerase holoenzyme assembly factor Crl,
b4710,insB9,257922,258426,504,168,-,54.56,IS1 transposase B,YP_009518739.1
b4709,insA9,258344,258620,276,92,-,52.9,IS1 repressor TnpA,YP_009518740.1
b0241,phoE,259044,260100,1056,352,-,44.7,outer membrane porin PhoE,NP_414776.1
b0242,proB,260387,261491,1104,368,+,56.25,glutamate 5-kinase,NP_414777.1
b0243,proA,261502,262756,1254,418,+,54.31,glutamate-5-semialdehyde dehydrogenase,NP_414778.1
b0245,ykfI,263327,263669,342,114,-,51.17,toxin of the YkfI-YafW toxin-antitoxin system,NP_414779.1
b0246,yafW,263689,264007,318,106,-,56.92,antitoxin of the YkfI-YafW toxin-antitoxin pair,NP_414780.1
b4504,ykfH,264025,264247,222,74,-,55.86,DUF987 domain-containing protein YkfH,YP_588435.1
b0247,ykfG,264255,264732,477,159,-,58.49,RadC-like JAB domain-containing protein YkfG,NP_414781.1
b0248,yafX,264747,265206,459,153,-,55.56,protein YafX,NP_414782.1
b0249,ykfF,265303,265543,240,80,-,58.75,protein YkfF,NP_414783.1
b0250,ykfB,265619,266087,468,156,-,52.56,protein YkfB,NP_414784.1
b0251,yafY,266109,266553,444,148,-,50.68,inner membrane lipoprotein YafY,NP_414785.4
b0252,yafZ,267183,268005,822,274,-,57.79,DUF932 domain-containing protein YafZ,NP_414786.4
b0253,ykfA,268096,268960,864,288,-,56.83,putative GTP-binding protein YkfA,NP_414787.4
b0254,perR,269288,270182,894,298,-,47.99,putative transcriptional regulator PerR,NP_414788.1
b4587,insN,270277,272190,1913,637,+,51.59,CP4-6 prophage; IS911A regulator fragment,
b0256,insI1,270602,271754,1152,384,+,45.83,IS30 transposase,NP_414790.1
b0258,ykfC,272846,273992,1146,382,+,54.54,PF00078 domain-containing protein YkfC,YP_009518741.1
b0259,insH1,274100,275081,981,327,-,55.05,IS5 transposase and trans-activator,NP_414793.2
b0260,mmuP,275324,276728,1404,468,+,54.84,S-methyl-L-methionine transporter,NP_414794.4
b0261,mmuM,276714,277647,933,311,+,60.34,homocysteine S-methyltransferase,NP_414795.1
b0262,afuC,277755,278802,1047,349,-,56.35,ABC transporter ATP-binding protein AfuC,NP_414796.2
b0264,insB2,279177,279681,504,168,-,55.16,IS1 protein InsB,NP_414798.1
b0265,insA2,279599,279875,276,92,-,53.26,IS1 protein InsA,NP_414799.1
b0266,yagB,280384,280735,351,117,-,51.0,orphan antitoxin YagB,YP_009518742.1
b0267,yagA,280828,281983,1155,385,-,62.08,integrase core domain-containing protein YagA,NP_414801.1
b0268,yagE,282277,283186,909,303,+,61.61,2-dehydro-3-deoxygluconate aldolase,NP_414802.2
b0269,yagF,283200,285168,1968,656,+,66.72,D-xylonate dehydratase,NP_414803.1
b0270,yagG,285394,286777,1383,461,+,62.47,putative D-xylonate transporter YagG,NP_414804.1
b0271,yagH,286788,288399,1611,537,+,64.37,putative xylosidase/arabinosidase,NP_414805.1
b0272,xynR,288403,289162,759,253,-,63.24,DNA-binding transcriptional repressor XynR,NP_414806.1
b0273,argF,289300,290305,1005,335,-,58.81,ornithine carbamoyltransferase ArgF,NP_414807.1
b4766,argL,290274,290370,96,32,-,30.21,putative translational regulatory protein ArgL,YP_010051174.1
b4688,ykgS,290509,290638,129,43,+,42.64,protein YkgS,YP_009518743.1
b0274,insB3,290648,291152,504,168,-,55.16,IS1 protein InsB,NP_414808.1
b0275,insA3,291070,291346,276,92,-,53.26,IS1 protein InsA,NP_414809.1
b0276,yagJ,291499,292231,732,244,+,48.91,protein YagJ,YP_009518744.1
b0277,yagK,292321,292948,627,209,-,44.82,uncharacterized protein YagK,NP_414811.1
b0278,yagL,293219,293918,699,233,-,37.34,resolvase-like catalytic domain-containing protein YagL,NP_414812.1
b0279,yagM,293944,294799,855,285,-,36.26,protein YagM,NP_414813.1
b4729,ykgV,294917,295142,225,75,-,40.89,protein YkgV,YP_009518745.1
b0280,yagN,295138,295579,441,147,-,43.54,protein YagN,NP_414814.1
b0281,intF,295695,297096,1401,467,-,44.33,putative phage integrase,NP_414815.1
b0282,yagP,297380,297791,411,137,-,52.55,putative LysR family substrate binding domain-containing protein YagP,YP_009518746.1
b0283,paoD,297769,298726,957,319,-,59.98,molybdenum cofactor insertion chaperone PaoD,NP_414817.1
