ranking,distancia_pb,gen1_locus,gen1_nombre,gen1_hebra,gen2_locus,gen2_nombre,gen2_hebra,misma_hebra
161,571,b0243,proA,+,b0245,ykfI,-,False
162,570,b4123,dcuB,-,b4124,dcuR,-,True
163,567,b1573,ydfC,+,b1575,dicB,+,True
164,565,b1156,tfaE,-,b1158,pinE,+,False
165,564,b3672,ivbL,-,b4618,tisB,+,False
166,562,b4615,yibV,+,b3597,yibH,-,False
167,559,b3173,yhbX,-,b3175,secG,-,True
168,559,b3213,gltD,+,b3214,gltF,+,True
169,557,b2556,glrK,-,b2557,purL,-,True
170,556,b2795,ppnN,+,b2796,sdaC,+,True
171,547,b1684,sufA,-,b1685,ydiH,-,True
172,546,b1976,mtfA,+,b1978,yeeJ,+,True
173,546,b2800,fucA,-,b2801,fucP,+,False
174,545,b0461,tomB,-,b0462,acrB,-,True
175,545,b4063,soxR,+,b4064,ghxP,+,True
176,544,b0888,trxB,-,b0889,lrp,+,False
177,544,b3587,yiaW,-,b3588,aldB,-,True
178,540,b0112,aroP,-,b0113,pdhR,+,False
179,540,b1993,cobU,-,b1994,insH6,-,True
180,537,b1894,insA5,-,b1895,uspC,+,False
181,536,b0215,dnaQ,+,b0217,yafT,+,True
182,536,b3598,yibI,-,b3599,mtlA,+,False
183,535,b4294,insA7,+,b4295,yjhU,-,False
184,531,b1431,ydcL,+,b1432,insQ,+,True
185,526,b0305,rclR,+,b0306,ykgE,+,True
186,524,b4024,lysC,-,b4025,pgi,+,False
187,523,b0369,hemB,-,b4580,yaiT,+,False
188,523,b1603,pntA,-,b1604,ydgH,+,False
189,519,b1176,minC,-,b1177,ycgJ,+,False
190,519,b3520,yhjB,-,b3521,rcdB,+,False
191,516,b3168,infB,-,b3169,nusA,-,True
192,515,b1223,narK,+,b1224,narG,+,True
193,515,b2030,insH7,-,b2032,wbbK,-,True
194,513,b0565,ompT,-,b0566,envY,-,True
195,513,b4277,yjgZ,+,b4278,insG,-,False
196,512,b2374,frc,-,b2375,yfdX,-,True
197,509,b0265,insA2,-,b0266,yagB,-,True
198,501,b4054,tyrB,+,b4621,yjbS,-,False
199,500,b1159,mcrA,+,b1160,iraM,-,False
